site_no,site_name,timestamp_utc,flow_cfs
1643880,"BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE, VA",2025-11-02 16:45:00+00:00,5.34
1643880,"BEAVERDAM CREEK AT RT 734 NEAR MOUNTVILLE, VA",2025-11-02 16:50:00+00:00,5.34
1644000,"GOOSE CREEK NEAR LEESBURG, VA",2025-11-02 16:30:00+00:00,7.18
1644000,"GOOSE CREEK NEAR LEESBURG, VA",2025-11-02 16:45:00+00:00,7.18
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 16:30:00+00:00,42.1
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 16:35:00+00:00,42.1
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 16:40:00+00:00,42.1
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 16:45:00+00:00,42.1
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 16:50:00+00:00,42.1
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 16:55:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:00:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:05:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:10:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:15:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:20:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:25:00+00:00,42.8
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:30:00+00:00,43.4
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:35:00+00:00,43.4
1644280,"BROAD RUN NEAR LEESBURG, VA",2025-11-02 17:40:00+00:00,43.4
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 16:30:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 16:35:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 16:40:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 16:45:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 16:50:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 16:55:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 17:00:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 17:05:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 17:10:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 17:15:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 17:20:00+00:00,1.05
1645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",2025-11-02 17:25:00+00:00,1.05
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 16:30:00+00:00,1.08
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 16:35:00+00:00,1.08
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 16:40:00+00:00,1.08
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 16:45:00+00:00,1.08
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 16:50:00+00:00,1.08
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 16:55:00+00:00,1.08
1645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",2025-11-02 17:00:00+00:00,1.08
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 16:30:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 16:35:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 16:40:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 16:45:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 16:50:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 16:55:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 17:00:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 17:05:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 17:10:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 17:15:00+00:00,0.93
164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",2025-11-02 17:20:00+00:00,0.93
164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",2025-11-02 16:30:00+00:00,0.03
164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",2025-11-02 16:35:00+00:00,0.03
