site_no,site_name,timestamp_utc,flow_cfs,p90_flow_cfs,ratio,high_flow,region
1631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",2025-11-02 16:45:00+00:00,770.0,2049.0000000000014,0.37579306979014127,False,north
1631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",2025-11-02 17:00:00+00:00,758.0,2049.0000000000014,0.3699365544167884,False,north
1631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",2025-11-02 17:15:00+00:00,758.0,2049.0000000000014,0.3699365544167884,False,north
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 16:30:00+00:00,13.9,211.80000000000013,0.06562795089707267,False,north
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 16:45:00+00:00,13.9,211.80000000000013,0.06562795089707267,False,north
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 17:00:00+00:00,13.9,211.80000000000013,0.06562795089707267,False,north
1632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",2025-11-02 17:15:00+00:00,13.9,211.80000000000013,0.06562795089707267,False,north
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 16:30:00+00:00,10.6,31.4,0.3375796178343949,False,north
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 16:45:00+00:00,10.6,31.4,0.3375796178343949,False,north
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:00:00+00:00,10.6,31.4,0.3375796178343949,False,north
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:15:00+00:00,10.6,31.4,0.3375796178343949,False,north
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:30:00+00:00,10.6,31.4,0.3375796178343949,False,north
1632082,"LINVILLE CREEK AT BROADWAY, VA",2025-11-02 17:45:00+00:00,10.6,31.4,0.3375796178343949,False,north
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-02 16:30:00+00:00,21.8,55.55000000000001,0.3924392439243924,False,north
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-02 16:45:00+00:00,21.8,55.55000000000001,0.3924392439243924,False,north
1632900,"SMITH CREEK NEAR NEW MARKET, VA",2025-11-02 17:00:00+00:00,21.8,55.55000000000001,0.3924392439243924,False,north
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 16:30:00+00:00,112.0,355.00000000000034,0.31549295774647856,False,north
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 16:45:00+00:00,112.0,355.00000000000034,0.31549295774647856,False,north
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:00:00+00:00,109.0,355.00000000000034,0.30704225352112646,False,north
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:15:00+00:00,109.0,355.00000000000034,0.30704225352112646,False,north
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:30:00+00:00,106.0,355.00000000000034,0.29859154929577436,False,north
1633000,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA",2025-11-02 17:45:00+00:00,106.0,355.00000000000034,0.29859154929577436,False,north
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 16:30:00+00:00,181.0,623.8000000000005,0.29015710163513925,False,north
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 16:45:00+00:00,181.0,623.8000000000005,0.29015710163513925,False,north
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 17:00:00+00:00,181.0,623.8000000000005,0.29015710163513925,False,north
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 17:15:00+00:00,181.0,623.8000000000005,0.29015710163513925,False,north
1634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",2025-11-02 17:30:00+00:00,181.0,623.8000000000005,0.29015710163513925,False,north
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 16:30:00+00:00,18.4,87.54000000000002,0.2101896275988119,False,north
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 16:45:00+00:00,18.4,87.54000000000002,0.2101896275988119,False,north
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:00:00+00:00,18.4,87.54000000000002,0.2101896275988119,False,north
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:15:00+00:00,18.4,87.54000000000002,0.2101896275988119,False,north
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:30:00+00:00,18.4,87.54000000000002,0.2101896275988119,False,north
1634500,"CEDAR CREEK NEAR WINCHESTER, VA",2025-11-02 17:45:00+00:00,18.4,87.54000000000002,0.2101896275988119,False,north
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 16:30:00+00:00,12.7,37.79000000000002,0.33606774278909746,False,north
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 16:45:00+00:00,12.7,37.79000000000002,0.33606774278909746,False,north
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:00:00+00:00,12.7,37.79000000000002,0.33606774278909746,False,north
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:15:00+00:00,12.7,37.79000000000002,0.33606774278909746,False,north
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:30:00+00:00,12.7,37.79000000000002,0.33606774278909746,False,north
1635500,"PASSAGE CREEK NEAR BUCKTON, VA",2025-11-02 17:45:00+00:00,12.7,37.79000000000002,0.33606774278909746,False,north
1636316,"SPOUT RUN AT RT 621 NEAR MILLWOOD, VA",2025-11-02 16:30:00+00:00,6.52,16.12,0.4044665012406947,False,north
1636316,"SPOUT RUN AT RT 621 NEAR MILLWOOD, VA",2025-11-02 16:45:00+00:00,6.52,16.12,0.4044665012406947,False,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:30:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:35:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:40:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:45:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:50:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 16:55:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
1636690,"PINEY RUN NEAR LOVETTSVILLE, VA",2025-11-02 17:00:00+00:00,87.4,28.020000000000024,3.119200571020697,True,north
