site_no,site_name,timestamp_utc,flow_cfs,latitude,longitude
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 07:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 08:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 08:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 08:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 08:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 09:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 09:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 09:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 09:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 10:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 10:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 10:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 10:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 11:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 11:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 11:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 11:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 12:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 12:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 12:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 12:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 13:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 13:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 13:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 13:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 14:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 14:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 14:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 14:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 15:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 15:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 15:30:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 15:45:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 16:00:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 16:15:00+00:00,2.53,39.19259167,-78.0686306
01616100,"DRY MARSH RUN NEAR BERRYVILLE, VA",2025-11-17 16:30:00+00:00,2.53,39.19259167,-78.0686306
